parkingarea_id,username_alias,date_in_central_european_time,unix_timestamp,action,longitude_latitude
5633266,2197,2018-06-09 17:10:41.540020,1528560641540,INSERT,"(13.417398033449373,52.523660554614565)"
5633267,2197,2018-06-09 17:10:41.561751,1528560641562,INSERT,"(13.417251966550637,52.52357944534802)"
5633268,2197,2018-06-09 17:13:49.055713,1528560829056,UPDATE,"(13.4205764968,52.5233364456)"
5633272,2197,2018-06-09 17:14:36.481353,1528560876481,INSERT,"(10.533047040674282,52.27593772783221)"
5633273,2197,2018-06-09 17:14:36.772794,1528560876773,INSERT,"(10.533179453471817,52.275934101250414)"
5633261,2197,2018-06-09 16:58:23.603525,1528559903604,DELETE,"(10.5311963676,52.27541994)"
5179649,2197,2018-06-09 16:58:37.781029,1528559917781,SET_DELETE,"(13.4134280873,52.5199805726)"
5179643,2197,2018-06-09 16:58:41.390377,1528559921390,SET_DELETE,"(13.4135187126,52.5199041276)"
5633262,2197,2018-06-09 17:00:20.034383,1528560020034,INSERT,"(13.416030888343592,52.52130982493395)"
5633263,2197,2018-06-09 17:00:30.294285,1528560030294,INSERT,"(13.415979110430909,52.521464862861286)"
5199429,2197,2018-06-09 17:01:40.017332,1528560100017,SET_DELETE,"(13.4159841382,52.5224676942)"
5633260,2197,2018-06-09 17:01:41.629564,1528560101630,DELETE,"(10.5311881125,52.2755422164)"
5199428,2197,2018-06-09 17:01:42.858765,1528560102859,SET_DELETE,"(13.4158902019,52.5223926384)"
5177979,2197,2018-06-09 17:02:36.723742,1528560156724,SET_DELETE,"(13.4180085716,52.5233325666)"
5177978,2197,2018-06-09 17:03:15.034557,1528560195035,SET_DELETE,"(13.4181407391,52.5232833446)"
5633264,2197,2018-06-09 17:10:22.113053,1528560622113,INSERT,"(13.41733181948322,52.523532163254814)"
5633274,2197,2018-06-09 17:15:02.614752,1528560902615,INSERT,"(10.531121535451598,52.275544523220766)"
5633278,2197,2018-06-09 17:16:14.146188,1528560974146,INSERT,"(10.530735757004784,52.2755415070761)"
3429010,2197,2018-06-09 17:18:15.302248,1528561095302,SET_DELETE,"(10.538803992,52.2754789643)"
5633265,2197,2018-06-09 17:10:34.472161,1528560634472,INSERT,"(13.417529226429355,52.52356812606702)"
5633264,2197,2018-06-09 17:10:49.987907,1528560649988,SET_DELETE,"(13.4173318195,52.5235321633)"
5633265,2197,2018-06-09 17:10:54.878332,1528560654878,SET_DELETE,"(13.4175292264,52.5235681261)"
